kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test.1.sm_70.ptx 3137 : 10112 50560 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3134 : 10000 59968 0 0 0 1250 313 0 0 
test.1.sm_70.ptx 3133 : 10000 90000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3132 : 10000 90000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3131 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3130 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3129 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3128 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3127 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3126 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3125 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3124 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3123 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3122 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3121 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3120 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3119 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3118 : 10000 289920 0 625 313 0 0 0 0 
test.1.sm_70.ptx 3117 : 10000 279936 0 625 313 0 0 0 0 
test.1.sm_70.ptx 3116 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3115 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3114 : 10000 249984 0 625 313 0 0 0 0 
test.1.sm_70.ptx 3113 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3112 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3111 : 10000 249984 0 625 313 0 0 0 0 
test.1.sm_70.ptx 3110 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3109 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3108 : 10000 249984 0 625 313 0 0 0 0 
test.1.sm_70.ptx 3107 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3106 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3105 : 10000 249984 0 625 313 0 0 0 0 
test.1.sm_70.ptx 3104 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3103 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3102 : 10000 249984 0 625 313 0 0 0 0 
test.1.sm_70.ptx 3101 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3100 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3099 : 10000 249984 0 625 313 0 0 0 0 
test.1.sm_70.ptx 3098 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3097 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3096 : 10000 275680 0 625 313 0 0 0 0 
test.1.sm_70.ptx 3095 : 10000 90000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3094 : 10000 60000 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3092 : 10112 560 0 0 0 0 0 0 1 
test.1.sm_70.ptx 3091 : 10112 60672 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3090 : 10112 91008 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3089 : 10112 50560 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3088 : 10112 30336 0 316 316 0 0 0 0 
test.1.sm_70.ptx 3087 : 10112 1972960 128 0 0 1264 316 0 0 
test.1.sm_70.ptx 3086 : 10112 30944 0 316 316 0 0 0 0 
test.1.sm_70.ptx 3085 : 10112 1542176 96 0 0 1264 316 0 0 
test.1.sm_70.ptx 3084 : 10112 31200 0 316 316 0 0 0 0 
test.1.sm_70.ptx 3083 : 10112 1545440 96 0 0 1264 316 0 0 
test.1.sm_70.ptx 3082 : 10112 31328 0 316 316 0 0 0 0 
test.1.sm_70.ptx 3081 : 10112 1550624 96 0 0 1264 316 0 0 
test.1.sm_70.ptx 3080 : 10112 33888 0 316 316 0 0 0 0 
test.1.sm_70.ptx 3079 : 10112 1553312 96 0 0 1264 316 0 0 
test.1.sm_70.ptx 3078 : 10112 34336 0 316 316 0 0 0 0 
test.1.sm_70.ptx 3077 : 10112 1975168 128 0 0 1264 316 0 0 
test.1.sm_70.ptx 3076 : 10112 31936 0 316 316 0 0 0 0 
test.1.sm_70.ptx 3075 : 10112 1546976 96 0 0 1264 316 0 0 
test.1.sm_70.ptx 3074 : 10112 33984 0 316 316 0 0 0 0 
test.1.sm_70.ptx 3073 : 10112 1551456 96 0 0 1264 316 0 0 
test.1.sm_70.ptx 3072 : 10112 37024 0 316 316 0 0 0 0 
test.1.sm_70.ptx 3071 : 10112 1581984 64 0 0 1264 316 0 0 
test.1.sm_70.ptx 3070 : 10112 53504 0 316 316 0 0 0 0 
test.1.sm_70.ptx 3069 : 10112 91008 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3068 : 10112 50560 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3067 : 10112 60672 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3066 : 10112 3905248 0 0 0 1264 316 0 0 
